Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,540,4.17,0.83,3.33,1.37,0.53,0.33,9.0,21.67,53.67,3.67,1794.5,5.5,247.83,17.5,1.0,1.17,21.73,1,79.86,41.53,5.71,26.24
John,BRA,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,707,2.55,1.15,1.4,0.85,-0.29,0.38,4.33,11.58,21.77,1.27,762.86,4.2,196.98,7.89,0.13,1.27,26.11,1,54.9,37.39,1.65,18.3
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,270,0.67,0.0,0.67,0.07,0.07,1.0,5.33,10.67,39.33,5.33,1095.33,3.67,146.43,7.67,1.0,3.67,80.07,1,100.0,49.95,13.04,10.45
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,24,1454,5.69,2.1,3.59,2.07,-0.04,0.19,3.47,9.22,37.02,4.21,988.51,5.08,211.06,13.37,0.43,0.99,19.78,1,63.09,37.64,3.22,22.95
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,1890,3.9,1.19,2.67,1.34,0.15,0.38,8.1,22.05,35.19,3.71,1401.05,5.52,300.53,14.71,0.43,2.05,40.71,1,68.46,36.73,2.92,23.52
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,2.5,0.5,2.0,0.7,0.2,0.5,3.0,10.5,30.5,3.5,836.2,4.5,216.9,10.5,0.0,2.0,42.4,1,80.0,28.57,0.0,22.4
José Luis García Vayá,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,27,1,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,810,3.78,1.89,1.89,1.33,-0.56,0.11,6.44,18.11,26.33,3.56,1005.7,7.11,412.02,15.33,1.33,0.67,11.31,1,50.0,35.56,8.68,17.59
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,4.0,1.0,3.0,0.8,-0.2,0.0,1.0,6.0,22.0,7.0,695.2,5.0,190.0,7.0,1.0,1.0,16.5,1,75.0,16.67,14.29,15.0
Juan Musso,ARG,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,180,3.5,0.5,3.0,0.5,0.0,0.5,2.0,7.0,23.0,4.5,609.5,8.0,347.6,18.0,1.0,0.0,0.0,1,85.71,28.57,5.56,12.24
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,25,1619,4.5,1.67,2.84,1.37,-0.29,0.22,3.72,11.28,26.07,4.06,840.41,5.5,251.58,12.06,1.17,2.39,52.42,1,63.11,32.98,9.7,19.21
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,450,3.2,1.4,1.8,0.76,-0.64,0.0,5.8,16.4,29.6,3.4,1121.1,6.0,268.76,13.2,0.2,1.4,26.74,1,56.25,35.37,1.52,13.36
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,180,0.5,0.5,0.0,0.05,-0.45,0.5,5.0,10.5,28.0,2.0,793.95,5.5,288.8,9.0,0.5,2.0,39.7,1,0.0,47.62,5.56,0.0
Kamil Grabara,POL,Wolfsburg,German Bundesliga,GK,Goalkeeper,27,1440,5.25,2.25,3.12,2.09,-0.16,0.06,4.31,15.69,37.31,4.75,1212.12,5.56,316.81,21.38,0.94,1.0,14.71,1,59.43,27.47,4.4,23.66
Karl Darlow,WAL,Leeds United,English Premier League,GK,Goalkeeper,35,450,4.0,1.6,2.6,1.02,-0.58,0.0,6.0,20.2,36.2,5.4,1369.68,5.2,297.3,16.4,1.0,0.8,10.78,1,65.0,29.7,6.1,16.58
Karl Jakob Hein,EST,Werder Bremen,German Bundesliga,GK,Goalkeeper,23,180,7.5,2.0,5.5,2.35,0.35,0.5,7.5,18.0,55.5,5.5,1650.9,5.0,293.5,14.0,1.0,3.0,55.65,1,73.33,41.67,7.14,22.98
Karl-Johan Johnsson,SWE,Strasbourg,French Ligue 1,GK,Goalkeeper,35,90,2.0,0.0,2.0,0.3,0.3,1.0,3.0,10.0,32.0,2.0,947.2,2.0,91.0,13.0,1.0,3.0,56.7,1,100.0,30.0,7.69,15.0
Karlo Letica,CRO,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,28,540,2.33,0.5,1.83,0.83,0.33,0.67,4.67,12.67,20.67,5.0,758.63,7.0,320.43,14.83,0.83,0.17,2.3,1,78.54,36.86,5.6,27.98
Kasper Schmeichel,DEN,Celtic,UEFA Europa League,GK,Goalkeeper,39,540,5.33,1.83,3.67,1.53,-0.3,0.0,4.0,12.67,37.5,3.0,1133.6,7.33,292.0,14.17,0.33,1.17,22.83,1,68.86,31.57,2.33,19.77
Kauã Santos,BRA,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,22,540,6.5,3.5,3.0,2.83,-0.67,0.0,3.0,15.33,37.0,4.67,1278.13,4.33,183.82,12.33,1.17,1.0,29.25,1,46.15,19.57,9.49,20.09
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,540,4.17,1.83,2.17,1.87,0.03,0.33,3.17,12.83,37.33,4.67,1130.62,8.33,285.32,14.83,0.67,1.0,21.0,1,52.04,24.71,4.52,23.34
Kiril Fesiun,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,23,360,2.0,0.75,1.25,0.72,-0.02,0.5,2.75,5.5,39.25,3.5,975.2,3.0,71.75,9.5,0.5,3.75,95.8,1,62.5,50.0,5.26,22.5
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,540,4.83,2.5,2.33,2.07,-0.43,0.17,3.0,10.83,20.0,2.5,732.72,6.33,292.3,16.17,1.0,0.67,8.6,1,48.24,27.7,6.18,20.67
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,23,450,4.2,2.6,1.6,1.7,-0.9,0.2,5.0,20.8,22.4,4.2,1139.78,4.8,303.06,10.8,2.2,2.8,56.02,1,38.1,24.04,20.37,15.42
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,5.96,3.97,1.99,2.25,-1.72,0.0,3.97,13.24,23.82,5.29,725.29,7.28,397.19,14.56,0.0,0.0,0.0,1,33.39,29.98,0.0,12.61
Lasse Rieß,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,24,359,6.77,3.26,3.51,2.48,-0.78,0.25,3.51,13.29,26.57,2.51,975.48,5.52,209.91,7.27,0.25,1.5,30.61,1,51.85,26.41,3.44,18.99
Laurit Behluli,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,25,90,5.0,3.0,2.0,1.1,-1.9,0.0,2.0,9.0,4.0,3.0,121.2,16.0,654.4,14.0,0.0,0.0,0.0,1,40.0,22.22,0.0,8.8
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,1260,4.14,1.5,2.64,1.53,0.03,0.07,5.86,15.5,27.0,2.86,1003.72,5.57,270.93,14.5,0.64,0.71,9.96,1,63.77,37.81,4.41,23.57
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,1710,4.11,1.63,2.58,1.23,-0.41,0.16,6.0,20.21,22.05,3.16,964.04,7.53,451.78,15.05,0.89,0.53,8.99,1,62.77,29.69,5.91,18.79
Lucas Bergström,FIN,Mallorca,Spanish La Liga,GK,Goalkeeper,23,450,4.4,1.4,3.0,1.32,-0.08,0.4,8.6,20.8,26.2,4.6,1112.32,7.4,453.8,21.2,0.6,2.8,44.44,1,68.18,41.35,2.83,20.45
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,24,1800,2.85,1.05,1.75,0.97,-0.08,0.4,1.4,4.2,24.45,3.5,609.92,3.45,137.26,6.95,0.3,0.8,15.98,1,61.4,33.33,4.32,20.9
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,28,1440,4.12,1.81,2.31,1.55,-0.26,0.19,5.44,21.44,33.94,4.38,1350.52,5.56,332.79,14.06,0.56,0.44,8.16,1,56.07,25.37,3.98,21.09
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1800,3.35,1.1,2.2,1.14,0.04,0.35,2.05,7.45,20.75,5.05,616.82,4.3,155.26,12.65,1.35,1.75,29.58,1,65.67,27.52,10.67,22.35
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,540,4.17,0.83,3.17,1.08,0.25,0.67,3.17,11.83,36.67,4.33,1129.47,3.17,123.5,13.17,0.5,1.67,31.37,1,76.02,26.8,3.8,19.69
Lukáš Hrádecký,FIN,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,36,809,4.12,1.33,2.89,1.45,0.11,0.22,3.11,10.01,23.36,2.78,765.22,5.23,203.25,13.02,0.56,1.22,24.16,1,70.15,31.07,4.3,24.69
Lukáš Zima,CZE,FCSB,UEFA Europa League,GK,Goalkeeper,31,165,7.09,2.18,4.91,2.73,0.55,0.0,3.27,11.45,21.27,7.64,706.58,6.0,269.02,14.18,0.0,0.0,0.0,1,69.25,28.56,0.0,26.67
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,5.0,2.75,2.25,2.3,-0.45,0.25,4.75,18.0,35.25,4.75,1194.72,4.0,245.28,18.0,1.25,0.25,2.6,1,45.0,26.39,6.94,20.7
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,996,4.16,1.45,2.62,1.33,-0.13,0.27,7.05,18.07,30.45,2.53,1122.1,4.43,259.93,15.27,0.9,1.54,26.75,1,62.98,39.01,5.89,20.14
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,1710,2.68,1.0,1.74,0.86,-0.14,0.32,4.42,11.16,36.79,4.47,1138.13,4.26,143.34,9.42,0.53,3.16,76.03,1,64.93,39.61,5.63,20.83
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,675,5.2,1.2,4.13,1.44,0.24,0.53,4.0,11.47,38.13,4.53,1081.67,4.53,197.83,15.6,0.93,2.53,49.37,1,79.42,34.87,5.96,21.99
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,2340,4.08,0.96,3.08,1.06,0.1,0.38,6.0,15.31,32.0,4.42,1089.13,5.35,295.41,12.15,0.69,1.69,31.92,1,75.49,39.19,5.68,19.61
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,360,5.5,1.75,3.75,1.85,0.1,0.0,5.0,17.75,28.0,4.25,1027.95,11.0,478.4,17.75,0.5,0.75,12.85,1,68.18,28.17,2.82,22.93
Marin Ljubić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,28,180,5.0,3.5,1.5,2.6,-0.9,0.0,1.5,8.0,22.5,3.0,713.5,7.0,296.9,11.5,0.5,1.5,27.8,1,30.0,18.75,4.35,15.6
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,1980,4.95,1.64,3.36,1.52,-0.12,0.27,3.36,10.23,31.23,4.59,933.66,5.55,242.2,12.95,0.5,1.0,18.4,1,67.88,32.84,3.86,20.84
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,1710,4.21,1.05,3.16,1.07,0.02,0.37,5.42,17.26,24.26,3.58,1019.94,6.0,314.73,14.47,1.16,0.79,13.96,1,75.06,31.4,8.02,19.08
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,1890,5.38,1.95,3.57,1.89,-0.07,0.14,7.05,21.62,26.38,4.33,943.98,11.1,672.12,18.0,0.67,0.62,7.69,1,66.36,32.61,3.72,23.31
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,360,3.75,0.5,3.25,1.32,0.82,0.5,4.75,17.25,24.75,4.0,1012.7,5.75,329.28,13.75,0.5,0.0,0.0,1,86.67,27.54,3.64,30.51
Martin Trnovský,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,25,90,1.0,0.0,1.0,0.3,0.3,1.0,2.0,9.0,21.0,3.0,684.6,11.0,294.8,23.0,2.0,0.0,0.0,1,100.0,22.22,8.7,30.0
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,450,3.0,0.4,2.4,0.76,0.36,0.6,4.2,11.8,30.2,5.2,936.44,4.0,219.48,9.2,1.0,0.8,12.28,1,80.0,35.59,10.87,20.27
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,540,5.33,2.0,3.33,1.53,-0.47,0.33,4.33,13.33,33.67,3.33,1034.33,8.83,350.25,11.0,0.0,1.33,24.7,1,62.48,32.48,0.0,17.93
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,1440,4.69,1.62,3.0,1.6,-0.02,0.12,9.62,23.44,41.0,2.62,1443.66,9.31,525.96,17.19,0.38,0.88,16.22,1,63.97,41.04,2.21,21.82
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,450,6.2,1.4,4.6,1.74,0.34,0.2,4.0,9.4,28.2,4.0,917.88,3.6,126.84,11.2,1.2,0.6,10.3,1,74.19,42.55,10.71,20.82
Massimo Pessina,ITA,Bologna,Italian Serie A,GK,Goalkeeper,17,83,1.08,0.0,1.08,0.11,0.11,1.08,7.59,17.35,33.61,3.25,1270.63,1.08,76.99,10.84,2.17,1.08,12.47,1,100.0,43.75,20.02,10.19
Matej Kovar,CZE,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,25,540,5.83,1.83,4.0,1.9,0.07,0.0,5.67,16.67,38.33,5.67,1337.23,4.83,225.68,14.17,0.83,0.5,8.48,1,68.61,34.01,5.86,22.36
Mateusz Kochalski,POL,Qarabağ,UEFA Champions League,GK,Goalkeeper,25,540,5.33,2.17,3.17,1.9,-0.27,0.17,4.5,16.33,28.0,2.33,975.82,9.67,504.82,14.5,0.17,1.17,23.32,1,59.47,27.56,1.17,21.2
Matheus,BRA,Red Star,UEFA Europa League,GK,Goalkeeper,33,540,3.33,0.83,2.5,1.2,0.37,0.5,6.5,16.17,31.33,3.5,1037.3,6.67,261.42,14.67,1.17,1.33,20.9,1,75.08,40.2,7.98,27.05
Mathew Ryan,AUS,Levante,Spanish La Liga,GK,Goalkeeper,33,1440,5.19,1.56,3.62,1.66,0.1,0.19,6.0,15.31,27.94,5.38,973.09,8.06,393.59,16.81,1.0,1.06,18.95,1,69.75,39.19,5.95,22.31
Mathias Dyngeland,NOR,Brann,UEFA Europa League,GK,Goalkeeper,30,540,4.5,1.17,3.33,1.6,0.43,0.5,6.5,20.17,47.5,2.67,1593.18,4.17,192.18,18.83,0.67,1.83,30.42,1,74.0,32.23,3.56,26.31
Matteo Bignetti,AUT,Sturm Graz,UEFA Europa League,GK,Goalkeeper,21,90,6.0,2.0,4.0,2.6,0.6,0.0,3.0,17.0,25.0,2.0,910.0,12.0,519.6,18.0,0.0,1.0,10.0,1,66.67,17.65,0.0,28.89
Mattia Perin,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,33,360,4.5,1.5,3.0,1.27,-0.22,0.0,2.75,5.75,18.75,3.5,597.05,4.5,141.45,8.5,0.25,0.25,9.0,1,66.67,47.83,2.94,18.81
Matvei Safonov,RUS,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,26,270,2.67,0.67,2.0,0.67,0.0,0.67,3.0,7.33,29.67,5.0,767.23,2.33,111.0,12.0,0.67,2.0,32.47,1,74.91,40.93,5.58,18.8
Matz Sels,BEL,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1723,4.34,1.62,2.82,1.42,-0.2,0.21,4.34,14.31,24.03,3.66,918.19,5.75,225.72,13.63,0.37,1.1,21.76,1,64.98,30.33,2.71,21.26
Matías Dituro,ARG,Elche,Spanish La Liga,GK,Goalkeeper,38,630,3.57,1.0,2.57,1.07,0.07,0.14,9.86,21.57,57.0,3.57,1771.23,5.29,268.83,13.14,1.57,3.71,67.39,1,71.99,45.71,11.95,21.58
Maxime Dupé,FRA,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,32,180,3.5,1.0,2.5,1.35,0.35,0.0,4.0,13.0,37.5,2.5,1113.25,3.5,174.6,9.0,0.5,0.0,0.0,1,71.43,30.77,5.56,27.55
Melker Ellborg,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,22,270,6.33,1.67,4.33,2.37,0.7,0.0,1.67,16.67,25.67,4.33,921.07,9.67,453.13,23.0,0.67,0.33,9.0,1,68.4,10.02,2.91,25.61
Melvin Zinga,FRA,Angers,French Ligue 1,GK,Goalkeeper,23,180,5.5,2.0,3.5,1.75,-0.25,0.0,4.0,11.5,24.5,7.0,814.0,7.0,254.95,22.0,0.5,0.0,0.0,1,63.64,34.78,2.27,20.25
Michael Brouwer,NED,Utrecht,UEFA Europa League,GK,Goalkeeper,32,112,8.04,1.61,6.43,2.01,0.4,0.8,8.04,20.09,24.91,3.21,1000.69,5.62,271.77,16.88,0.0,0.8,13.02,1,79.98,40.02,0.0,19.99
Michael Zetterer,GER,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,30,1440,4.62,1.75,2.88,1.41,-0.34,0.25,5.44,15.56,38.44,6.56,1288.77,4.62,193.82,13.56,0.69,0.94,14.36,1,62.34,34.96,5.09,19.03
Michele Di Gregorio,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1980,3.05,0.91,2.14,0.94,0.03,0.41,2.73,7.18,24.5,4.32,742.67,3.59,132.1,11.91,0.91,0.59,12.69,1,70.16,38.02,7.64,21.62
Mike Maignan,FRA,Milan,Italian Serie A,GK,Goalkeeper,30,1585,3.35,0.85,2.38,1.15,0.3,0.4,2.67,9.26,29.58,4.77,940.92,4.03,183.23,16.58,1.31,0.62,11.84,1,71.04,28.83,7.9,24.39
Mike Penders,BEL,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,20,1980,3.82,1.18,2.64,1.23,0.05,0.32,3.05,7.91,47.5,2.41,1127.67,2.91,126.43,13.05,0.91,1.0,15.43,1,69.11,38.56,6.97,22.25
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,2340,3.35,0.65,2.69,0.88,0.23,0.42,4.42,12.77,30.85,5.73,1017.25,6.23,289.63,9.19,0.85,0.85,14.51,1,80.3,34.61,9.25,21.09
Mio Backhaus,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,21,1170,5.77,1.85,4.0,1.92,0.07,0.23,2.08,6.69,31.69,6.0,870.98,3.77,157.54,16.54,1.54,0.92,14.48,1,69.32,31.09,9.31,23.07
Mirko Salvi,SUI,Basel,UEFA Europa League,GK,Goalkeeper,31,90,5.0,2.0,3.0,1.7,-0.3,0.0,1.0,3.0,20.0,4.0,572.0,2.0,66.0,13.0,0.0,2.0,63.0,1,60.0,33.33,0.0,20.4
Miłosz Piekutowski,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,19,180,4.5,1.0,3.5,1.45,0.45,0.0,3.0,8.5,28.5,3.5,731.05,5.5,203.9,16.5,1.0,1.0,12.7,1,77.78,35.29,6.06,25.06
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,28,1440,4.56,1.5,3.06,1.51,0.01,0.44,5.88,12.69,30.69,4.19,955.93,3.62,186.84,14.94,0.75,1.06,18.84,1,67.11,46.34,5.02,22.22
Mory Diaw,SEN,Le Havre,French Ligue 1,GK,Goalkeeper,32,1440,3.81,1.38,2.44,1.12,-0.25,0.31,5.25,13.25,30.94,5.0,996.96,6.94,257.85,15.56,1.81,1.25,18.14,1,64.04,39.62,11.63,18.83
Nauzet García,ESP,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,31,90,10.0,5.0,5.0,4.1,-0.9,0.0,5.0,14.0,29.0,2.0,1070.1,4.0,140.0,17.0,1.0,2.0,29.6,1,50.0,35.71,5.88,20.5
Neofytos Michael,CYP,Pafos FC,UEFA Champions League,GK,Goalkeeper,31,540,6.0,1.5,4.5,1.62,0.12,0.5,4.17,17.0,30.5,4.83,1029.45,10.33,537.5,20.0,0.5,0.5,8.5,1,75.0,24.53,2.5,20.25
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1786,4.33,1.06,3.33,1.08,0.02,0.45,3.12,11.44,22.02,6.95,713.82,7.26,349.46,12.4,1.51,2.42,45.21,1,76.91,27.27,12.18,19.18
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,32,1622,4.27,1.39,2.94,1.36,-0.03,0.17,4.55,13.37,23.86,2.77,886.07,3.94,177.39,14.76,0.61,0.83,18.36,1,68.85,34.03,4.13,21.93
Nikita Haikin,RUS,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,30,540,8.33,2.17,6.33,2.85,0.68,0.0,4.33,14.17,33.83,4.83,1138.97,4.0,198.22,17.33,1.33,0.5,9.93,1,75.99,30.56,7.67,26.0
Niklas Hedl,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,24,360,5.25,2.25,3.0,1.88,-0.38,0.0,5.0,13.0,17.5,2.25,653.92,7.0,400.28,12.25,0.25,2.75,64.42,1,57.14,38.46,2.04,20.46
Nikola Vasilj,BIH,St. Pauli,German Bundesliga,GK,Goalkeeper,30,1350,5.27,1.73,3.4,2.0,0.27,0.13,2.73,10.73,35.13,3.87,1065.65,1.73,76.01,10.53,0.93,0.93,14.38,1,64.52,25.44,8.83,24.48
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,23,1980,4.0,1.36,2.59,1.32,-0.05,0.32,6.86,20.23,40.05,3.55,1438.75,4.95,290.24,12.14,0.55,1.59,31.53,1,64.75,33.91,4.53,21.37
Nordin Jackers,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,28,432,6.67,2.71,4.17,1.92,-0.79,0.0,6.25,18.54,36.46,4.17,1317.48,4.58,236.88,12.92,0.83,0.62,10.19,1,62.52,33.71,6.42,18.0
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,990,3.91,1.82,2.0,1.44,-0.38,0.09,2.64,10.0,37.82,4.45,1071.95,6.45,180.05,13.36,0.36,1.09,17.45,1,51.15,26.4,2.69,18.84
Odysseas Vlachodimos,GRE,Sevilla,Spanish La Liga,GK,Goalkeeper,31,1350,4.93,1.53,3.4,1.74,0.21,0.2,4.73,14.07,30.8,5.27,1059.59,5.67,267.14,12.07,0.27,0.53,7.23,1,68.97,33.62,2.24,24.34
Ognjen Čančarević,ARM,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,36,90,4.0,2.0,2.0,1.7,-0.3,0.0,5.0,17.0,31.0,1.0,1088.1,5.0,258.0,16.0,0.0,1.0,18.0,1,50.0,29.41,0.0,21.25
Okan Kocuk,TUR,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,30,540,2.33,1.0,1.33,1.05,0.05,0.5,3.17,7.83,22.83,4.67,632.27,7.33,265.58,13.0,1.0,0.83,18.97,1,57.08,40.49,7.69,25.72
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,1350,4.13,1.33,2.8,1.3,-0.03,0.2,4.8,15.2,37.0,3.2,1241.63,4.0,174.81,15.67,0.73,2.87,56.27,1,67.8,31.58,4.66,21.34
Oliver Christensen,DEN,Sturm Graz,UEFA Europa League,GK,Goalkeeper,26,450,4.4,1.2,3.2,1.34,0.14,0.2,2.2,10.2,25.4,3.4,846.74,4.4,158.34,15.8,0.0,0.8,15.52,1,72.73,21.57,0.0,22.15
Oliwier Zych,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,21,360,4.25,0.25,4.0,0.8,0.55,0.75,4.25,17.25,29.5,3.75,1044.88,6.5,386.8,11.25,1.0,0.25,3.75,1,94.12,24.64,8.89,17.72
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,7.0,2.5,5.0,2.35,-0.15,0.0,5.5,18.5,22.5,7.0,939.45,13.0,625.4,23.0,1.0,0.5,4.95,1,71.43,29.73,4.35,23.98
Pape Mamadou Sy,SEN,Metz,French Ligue 1,GK,Goalkeeper,28,76,9.47,4.74,4.74,3.43,-1.3,0.0,7.11,22.5,24.87,2.37,1027.07,9.47,529.58,11.84,1.18,1.18,20.13,1,50.05,31.6,9.97,18.13
Patrik Carlgren,SWE,Nantes,French Ligue 1,GK,Goalkeeper,33,92,4.89,1.96,2.93,0.68,-1.27,0.0,1.96,18.59,28.37,7.83,1172.93,8.8,395.02,38.15,0.98,0.0,0.0,1,59.92,10.54,2.57,8.33
Pau López,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,30,720,3.88,1.12,2.62,1.12,0.0,0.25,3.5,9.62,24.75,4.0,774.48,6.38,294.05,13.62,0.5,0.75,16.61,1,67.53,36.38,3.67,19.49
Paul Argney,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,19,90,3.0,1.0,2.0,1.0,0.0,0.0,4.0,9.0,28.0,3.0,772.8,5.0,165.0,18.0,2.0,0.0,0.0,1,66.67,44.44,11.11,22.22
Paul Gartler,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,28,180,6.5,2.5,4.0,2.15,-0.35,0.0,5.5,21.0,24.0,2.0,1040.85,9.0,492.75,12.0,0.5,3.0,73.4,1,61.54,26.19,4.17,20.36
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,34,1572,4.98,1.6,3.38,1.65,0.05,0.17,3.89,14.54,33.66,4.64,1102.15,5.32,301.99,16.03,0.63,1.15,19.41,1,67.87,26.75,3.93,22.49
Pavlo Isenko,UKR,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,22,539,4.01,1.34,2.67,1.4,0.07,0.33,3.67,9.85,22.88,3.84,727.25,8.01,265.79,18.37,0.33,0.83,16.1,1,66.58,37.26,1.8,23.25
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,27,450,2.2,0.4,1.8,0.42,0.02,0.6,3.4,8.8,39.4,4.4,1074.36,2.2,92.8,7.0,0.0,1.6,36.54,1,81.82,38.64,0.0,15.62
Philipp Köhn,SUI,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,27,1261,4.92,1.86,3.14,1.73,-0.12,0.29,2.5,6.49,23.62,4.64,660.02,4.78,153.24,12.06,0.86,1.78,31.6,1,63.82,38.52,7.13,22.44
