Player,Game Week,Team,League,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Alphonse Areola,J34,West Ham,Premier League,fr FRA,32-058,90,9.0,3.0,6.0,3.1,0.1,False,8.0,15.0,38.0,4.0,125.2,2.0,57.0,23.0,0.0,2.0,42.6
José Sá,J34,Wolves,Premier League,pt POR,32-099,90,2.0,0.0,1.0,1.1,1.1,True,4.0,9.0,34.0,5.0,143.0,6.0,166.8,9.0,1.0,0.0,0.0
Mads Hermansen,J34,Leicester City,Premier League,dk DEN,24-289,90,5.0,3.0,2.0,1.7,-1.3,False,2.0,10.0,36.0,8.0,224.0,4.0,177.2,13.0,2.0,1.0,16.7
Aaron Ramsdale,J34,Southampton,Premier League,eng ENG,26-347,90,5.0,2.0,3.0,2.9,0.9,False,8.0,31.0,26.0,4.0,180.8,14.0,901.6,41.0,2.0,0.0,0.0
Bernd Leno,J34,Fulham,Premier League,de GER,33-053,90,3.0,1.0,2.0,1.4,0.4,False,0.0,1.0,21.0,6.0,119.4,1.0,16.0,7.0,0.0,0.0,0.0
Nick Pope,J34,Newcastle Utd,Premier League,eng ENG,33-007,90,0.0,0.0,0.0,0.0,0.0,True,2.0,2.0,12.0,6.0,146.4,1.0,19.0,4.0,1.0,3.0,66.9
Alex Palmer,J34,Ipswich Town,Premier League,eng ENG,28-259,90,4.0,3.0,1.0,2.0,-1.0,False,13.0,35.0,27.0,1.0,53.4,11.0,741.4,26.0,1.0,1.0,8.6
Kepa Arrizabalaga,J34,Bournemouth,Premier League,es ESP,30-206,90,6.0,1.0,5.0,1.8,0.8,False,5.0,14.0,21.0,7.0,250.6,7.0,373.8,19.0,4.0,3.0,33.0
André Onana,J34,Manchester Utd,Premier League,cm CMR,29-025,90,1.0,1.0,0.0,0.7,-0.3,False,3.0,11.0,28.0,4.0,100.8,8.0,419.2,14.0,0.0,2.0,32.0
Łukasz Skorupski,J14,Bologna,Serie A,pl POL,33-209,90,1.0,0.0,1.0,0.4,0.4,True,5.0,7.0,25.0,3.0,89.4,0.0,0.0,5.0,0.0,0.0,0.0
Filip Stankovic,J14,Venezia,Serie A,rs SRB,22-279,90,9.0,3.0,6.0,2.9,-0.1,False,3.0,12.0,28.0,3.0,104.4,3.0,126.9,9.0,0.0,2.0,34.0
Alisson,J34,Liverpool,Premier League,br BRA,32-207,90,3.0,1.0,2.0,0.9,-0.1,False,1.0,3.0,39.0,4.0,89.2,3.0,120.9,9.0,1.0,0.0,0.0
Guglielmo Vicario,J34,Tottenham,Premier League,it ITA,28-202,90,6.0,5.0,2.0,2.7,-2.3,False,2.0,11.0,39.0,3.0,93.9,2.0,128.0,13.0,1.0,1.0,11.3
Matz Sels,J34,Nott'ham Forest,Premier League,be BEL,33-064,90,3.0,2.0,1.0,1.7,-0.3,False,3.0,9.0,16.0,4.0,149.2,3.0,57.0,11.0,0.0,2.0,28.6
Mark Flekken,J34,Brentford,Premier League,nl NED,31-322,90,5.0,0.0,5.0,0.8,0.8,True,9.0,20.0,31.0,6.0,199.8,12.0,704.4,24.0,3.0,1.0,12.3
Ederson,J35,Manchester City,Premier League,br BRA,31-258,90,0.0,0.0,0.0,0.0,0.0,True,2.0,5.0,38.0,3.0,78.3,3.0,114.0,10.0,0.0,0.0,0.0
José Sá,J35,Wolves,Premier League,pt POR,32-105,90,2.0,1.0,1.0,0.6,-0.4,False,3.0,14.0,33.0,4.0,115.6,7.0,307.3,12.0,1.0,1.0,12.0
Emiliano Martínez,J35,Aston Villa,Premier League,ar ARG,32-243,90,3.0,0.0,3.0,1.0,1.0,True,6.0,13.0,34.0,4.0,115.2,5.0,330.0,19.0,2.0,4.0,82.8
Bernd Leno,J35,Fulham,Premier League,de GER,33-060,90,3.0,1.0,2.0,1.2,0.2,False,6.0,8.0,26.0,6.0,181.2,6.0,208.8,11.0,0.0,3.0,61.8
Jakub Stolarczyk,J35,Leicester City,Premier League,pl POL,24-135,90,2.0,0.0,2.0,0.3,0.3,True,2.0,12.0,34.0,4.0,128.0,1.0,74.0,12.0,0.0,0.0,0.0
Aaron Ramsdale,J35,Southampton,Premier League,eng ENG,26-354,90,4.0,2.0,2.0,1.3,-0.7,False,4.0,13.0,26.0,5.0,172.5,7.0,359.8,14.0,0.0,1.0,22.0
Jordan Pickford,J35,Everton,Premier League,eng ENG,31-057,90,5.0,2.0,3.0,1.2,-0.8,False,5.0,16.0,43.0,3.0,111.9,0.0,0.0,8.0,0.0,0.0,0.0
Alex Palmer,J35,Ipswich Town,Premier League,eng ENG,28-266,90,3.0,2.0,1.0,1.5,-0.5,False,5.0,10.0,35.0,7.0,201.6,5.0,129.0,24.0,1.0,2.0,26.0
David Raya,J35,Arsenal,Premier League,es ESP,29-230,90,2.0,2.0,0.0,1.5,-0.5,False,6.0,17.0,44.0,5.0,148.5,3.0,153.0,12.0,0.0,1.0,39.0
Kepa Arrizabalaga,J35,Bournemouth,Premier League,es ESP,30-212,90,4.0,1.0,3.0,1.7,0.7,False,7.0,16.0,33.0,2.0,66.6,11.0,445.5,4.0,0.0,4.0,84.0
Bart Verbruggen,J35,Brighton,Premier League,nl NED,22-259,90,5.0,1.0,4.0,1.7,0.7,False,7.0,29.0,38.0,4.0,174.4,3.0,188.1,12.0,1.0,0.0,0.0
Nick Pope,J35,Newcastle Utd,Premier League,eng ENG,33-015,90,2.0,1.0,1.0,1.0,0.0,False,2.0,6.0,20.0,6.0,175.2,4.0,147.2,8.0,0.0,5.0,132.5
Alphonse Areola,J35,West Ham,Premier League,fr FRA,32-066,90,2.0,1.0,1.0,0.4,-0.6,False,4.0,25.0,34.0,1.0,43.3,5.0,339.0,9.0,0.0,0.0,0.0
Guglielmo Vicario,J35,Tottenham,Premier League,it ITA,28-209,90,2.0,1.0,1.0,0.6,-0.4,False,5.0,18.0,39.0,2.0,65.6,4.0,241.2,12.0,0.0,1.0,16.0
Mark Flekken,J35,Brentford,Premier League,nl NED,31-325,90,5.0,3.0,2.0,1.1,-1.9,False,3.0,13.0,43.0,2.0,63.2,2.0,141.0,6.0,0.0,1.0,12.0
Altay Bayındır,J35,Manchester Utd,Premier League,tr TUR,27-020,90,6.0,4.0,3.0,3.2,-0.8,False,3.0,18.0,42.0,5.0,167.5,7.0,254.8,19.0,2.0,4.0,50.8
Maduka Okoye,J14,Udinese,Serie A,ng NGA,25-095,90,3.0,2.0,2.0,1.4,-0.6,False,7.0,17.0,39.0,5.0,166.5,2.0,120.0,13.0,2.0,1.0,10.8
Nicola Leali,J14,Genoa,Serie A,it ITA,31-288,90,2.0,0.0,2.0,0.1,0.1,True,4.0,6.0,25.0,3.0,84.3,4.0,112.0,11.0,0.0,0.0,0.0
Robert Sánchez,J35,Chelsea,Premier League,es ESP,27-167,90,2.0,1.0,1.0,0.2,-0.8,False,2.0,15.0,33.0,6.0,236.4,0.0,0.0,19.0,1.0,0.0,0.0
Alisson,J35,Liverpool,Premier League,br BRA,32-214,90,6.0,3.0,4.0,2.9,-0.1,False,3.0,7.0,54.0,9.0,209.7,3.0,36.9,3.0,0.0,0.0,0.0
Dean Henderson,J35,Crystal Palace,Premier League,eng ENG,28-054,90,4.0,1.0,3.0,1.2,0.2,False,2.0,15.0,20.0,2.0,92.0,4.0,154.0,14.0,0.0,0.0,0.0
Matz Sels,J35,Nott'ham Forest,Premier League,be BEL,33-068,90,3.0,1.0,2.0,1.0,0.0,False,8.0,14.0,16.0,1.0,38.6,8.0,415.2,26.0,2.0,0.0,0.0
Alex Palmer,J36,Ipswich Town,Premier League,eng ENG,28-273,90,5.0,1.0,4.0,1.2,0.2,False,2.0,9.0,34.0,8.0,225.6,4.0,165.2,19.0,3.0,0.0,0.0
Mark Flekken,J36,Brentford,Premier League,nl NED,31-331,90,4.0,0.0,4.0,0.9,0.9,True,2.0,17.0,27.0,0.0,0.0,8.0,520.8,12.0,1.0,0.0,0.0
Bernd Leno,J36,Fulham,Premier League,de GER,33-067,90,7.0,3.0,4.0,1.3,-1.7,False,1.0,3.0,35.0,9.0,230.4,2.0,49.0,13.0,1.0,2.0,28.8
Jordan Pickford,J36,Everton,Premier League,eng ENG,31-064,90,6.0,1.0,5.0,1.3,0.3,False,7.0,20.0,37.0,1.0,37.0,7.0,385.0,22.0,1.0,0.0,0.0
José Sá,J36,Wolves,Premier League,pt POR,32-113,90,2.0,2.0,0.0,1.1,-0.9,False,3.0,10.0,31.0,7.0,233.1,3.0,44.1,11.0,1.0,3.0,53.4
Bart Verbruggen,J36,Brighton,Premier League,nl NED,22-265,90,3.0,0.0,3.0,0.6,0.6,True,4.0,15.0,29.0,6.0,230.4,3.0,185.1,18.0,0.0,0.0,0.0
Aaron Ramsdale,J36,Southampton,Premier League,eng ENG,26-361,90,4.0,0.0,4.0,0.7,0.7,True,9.0,35.0,36.0,6.0,279.6,12.0,824.4,35.0,1.0,1.0,6.4
Ederson,J36,Manchester City,Premier League,br BRA,31-266,90,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,10.0,1.0,19.8,1.0,21.0,4.0,0.0,1.0,48.0
Kepa Arrizabalaga,J36,Bournemouth,Premier League,es ESP,30-219,90,3.0,1.0,2.0,1.3,0.3,False,3.0,4.0,25.0,4.0,108.8,3.0,102.0,7.0,2.0,0.0,0.0
Emiliano Martínez,J36,Aston Villa,Premier League,ar ARG,32-250,90,4.0,0.0,4.0,0.7,0.7,True,8.0,28.0,38.0,5.0,224.5,7.0,501.9,22.0,4.0,0.0,0.0
Nick Pope,J36,Newcastle Utd,Premier League,eng ENG,33-022,90,3.0,0.0,3.0,0.5,0.5,True,2.0,6.0,22.0,9.0,249.3,7.0,228.2,15.0,2.0,1.0,15.7
Robert Sánchez,J36,Chelsea,Premier League,es ESP,27-174,90,6.0,2.0,4.0,1.8,-0.2,False,9.0,30.0,46.0,7.0,281.4,8.0,366.4,9.0,0.0,5.0,87.0
Matz Sels,J36,Nott'ham Forest,Premier League,be BEL,33-074,90,6.0,2.0,4.0,1.9,-0.1,False,3.0,10.0,13.0,1.0,31.6,6.0,381.0,11.0,0.0,0.0,0.0
Jakub Stolarczyk,J36,Leicester City,Premier League,pl POL,24-143,90,4.0,2.0,2.0,1.7,-0.3,False,1.0,18.0,31.0,4.0,113.6,8.0,514.4,19.0,2.0,2.0,34.0
Antonín Kinský,J36,Tottenham,Premier League,cz CZE,22-059,90,9.0,2.0,7.0,3.3,1.3,False,1.0,9.0,31.0,10.0,347.0,4.0,77.2,18.0,2.0,3.0,49.2
Dean Henderson,J36,Crystal Palace,Premier League,eng ENG,28-060,90,1.0,0.0,1.0,0.0,0.0,True,4.0,15.0,37.0,6.0,206.4,4.0,178.0,10.0,1.0,2.0,42.6
Vanja Milinković-Savić,J14,Torino,Serie A,rs SRB,27-285,90,6.0,1.0,5.0,1.3,0.3,False,6.0,21.0,38.0,3.0,115.2,7.0,406.7,13.0,0.0,2.0,45.6
Alex Meret,J14,Napoli,Serie A,it ITA,27-254,90,1.0,0.0,1.0,0.4,0.4,True,2.0,4.0,38.0,10.0,265.0,5.0,156.0,16.0,2.0,1.0,15.8
Altay Bayındır,J36,Manchester Utd,Premier League,tr TUR,27-027,90,4.0,2.0,2.0,3.0,1.0,False,2.0,5.0,18.0,1.0,32.3,1.0,17.0,12.0,0.0,3.0,54.9
Alphonse Areola,J36,West Ham,Premier League,fr FRA,32-073,90,5.0,0.0,5.0,1.2,1.2,True,4.0,14.0,29.0,2.0,60.0,11.0,458.7,25.0,1.0,1.0,22.0
Alisson,J36,Liverpool,Premier League,br BRA,32-221,90,6.0,2.0,4.0,2.3,0.3,False,4.0,14.0,39.0,7.0,219.8,3.0,147.9,10.0,0.0,2.0,70.0
David Raya,J36,Arsenal,Premier League,es ESP,29-238,90,5.0,2.0,3.0,2.7,0.7,False,6.0,23.0,41.0,7.0,233.1,9.0,521.1,8.0,1.0,2.0,35.6
Emiliano Martínez,J37,Aston Villa,Premier League,ar ARG,32-256,90,1.0,0.0,1.0,0.2,0.2,True,2.0,3.0,32.0,4.0,85.6,0.0,0.0,7.0,2.0,1.0,12.2
Antonín Kinský,J37,Tottenham,Premier League,cz CZE,22-064,90,7.0,2.0,5.0,2.2,0.2,False,4.0,16.0,29.0,11.0,379.5,7.0,368.2,17.0,5.0,2.0,27.0
Robert Sánchez,J37,Chelsea,Premier League,es ESP,27-179,90,1.0,0.0,1.0,0.2,0.2,True,2.0,13.0,29.0,7.0,280.7,1.0,26.0,7.0,2.0,1.0,10.0
André Onana,J37,Manchester Utd,Premier League,cm CMR,29-044,90,3.0,1.0,2.0,0.8,-0.2,False,9.0,26.0,38.0,4.0,170.8,9.0,380.7,8.0,1.0,1.0,15.8
Jordan Pickford,J37,Everton,Premier League,eng ENG,31-072,90,2.0,0.0,2.0,1.2,1.2,True,4.0,17.0,40.0,1.0,34.1,4.0,201.2,11.0,0.0,1.0,33.3
Aaron Ramsdale,J37,Southampton,Premier League,eng ENG,27-004,90,4.0,2.0,2.0,2.6,0.6,False,3.0,16.0,30.0,5.0,143.0,7.0,478.8,19.0,1.0,1.0,12.7
Alphonse Areola,J37,West Ham,Premier League,fr FRA,32-080,90,5.0,2.0,3.0,2.6,0.6,False,2.0,9.0,32.0,8.0,244.8,4.0,60.0,17.0,2.0,2.0,30.0
Matz Sels,J37,Nott'ham Forest,Premier League,be BEL,33-081,90,5.0,1.0,4.0,1.1,0.1,False,7.0,17.0,15.0,0.0,0.0,5.0,289.0,24.0,0.0,0.0,0.0
Mark Flekken,J37,Brentford,Premier League,nl NED,31-339,90,7.0,3.0,4.0,1.9,-1.1,False,7.0,13.0,25.0,5.0,175.0,4.0,254.0,14.0,0.0,1.0,30.0
Bernd Leno,J37,Fulham,Premier League,de GER,33-075,90,5.0,2.0,2.0,2.7,0.7,False,8.0,14.0,20.0,1.0,33.4,9.0,505.8,13.0,0.0,2.0,30.6
Jakub Stolarczyk,J37,Leicester City,Premier League,pl POL,24-150,90,2.0,0.0,2.0,0.3,0.3,True,2.0,20.0,32.0,3.0,105.9,9.0,512.1,11.0,1.0,0.0,0.0
Alex Palmer,J37,Ipswich Town,Premier League,eng ENG,28-281,90,3.0,2.0,1.0,0.8,-1.2,False,1.0,2.0,26.0,6.0,133.8,3.0,33.0,5.0,1.0,1.0,13.5
David Raya,J37,Arsenal,Premier League,es ESP,29-245,90,5.0,0.0,5.0,1.4,1.4,True,6.0,21.0,31.0,6.0,253.2,3.0,194.1,18.0,3.0,2.0,30.2
Nick Pope,J37,Newcastle Utd,Premier League,eng ENG,33-029,90,4.0,1.0,3.0,1.3,0.3,False,3.0,10.0,26.0,8.0,220.8,5.0,279.0,13.0,0.0,4.0,153.2
Bart Verbruggen,J37,Brighton,Premier League,nl NED,22-274,90,5.0,2.0,3.0,1.5,-0.5,False,3.0,9.0,32.0,2.0,62.4,1.0,26.0,7.0,1.0,0.0,0.0
Alisson,J37,Liverpool,Premier League,br BRA,32-229,90,12.0,3.0,9.0,3.9,0.9,False,3.0,15.0,57.0,6.0,172.2,4.0,122.0,12.0,1.0,1.0,12.0
Zion Suzuki,J14,Parma,Serie A,jp JPN,22-102,90,6.0,1.0,5.0,2.1,1.1,False,10.0,30.0,31.0,2.0,107.8,7.0,440.3,29.0,2.0,0.0,0.0
Ivan Provedel,J14,Lazio,Serie A,it ITA,30-259,90,4.0,3.0,1.0,1.4,-1.6,False,3.0,8.0,31.0,2.0,59.6,5.0,72.0,2.0,0.0,2.0,38.0
Ederson,J37,Manchester City,Premier League,br BRA,31-276,90,2.0,1.0,1.0,0.9,-0.1,False,4.0,13.0,40.0,7.0,234.5,5.0,168.0,13.0,2.0,2.0,25.8
Kepa Arrizabalaga,J37,Bournemouth,Premier League,es ESP,30-229,90,5.0,3.0,2.0,1.5,-1.5,False,3.0,6.0,32.0,6.0,162.6,4.0,71.2,6.0,0.0,3.0,72.9
Dean Henderson,J37,Crystal Palace,Premier League,eng ENG,28-069,90,3.0,2.0,1.0,2.0,0.0,False,3.0,12.0,23.0,1.0,34.4,2.0,162.0,16.0,1.0,1.0,18.5
Daniel Bentley,J37,Wolves,Premier League,eng ENG,31-311,90,10.0,4.0,6.0,3.8,-0.2,False,3.0,5.0,28.0,6.0,142.2,3.0,140.1,3.0,0.0,3.0,64.8
Altay Bayındır,J38,Manchester Utd,Premier League,tr TUR,27-041,90,1.0,0.0,1.0,0.0,0.0,True,3.0,10.0,17.0,2.0,56.6,6.0,415.2,8.0,0.0,0.0,0.0
Emiliano Martínez,J38,Aston Villa,Premier League,ar ARG,32-265,44,5.0,0.0,5.0,0.7,0.0,False,2.0,8.0,21.0,2.0,71.2,2.0,85.0,7.0,1.0,1.0,13.0
Robin Olsen,J38,Aston Villa,Premier League,se SWE,35-137,46,5.0,2.0,3.0,2.1,0.1,False,9.0,23.0,11.0,0.0,0.0,14.0,886.2,8.0,0.0,0.0,0.0
Christian Walton,J38,Ipswich Town,Premier League,eng ENG,29-197,90,6.0,3.0,3.0,2.0,-1.0,False,4.0,8.0,28.0,8.0,228.0,1.0,80.0,6.0,1.0,1.0,13.7
Łukasz Fabiański,J38,West Ham,Premier League,pl POL,40-037,90,4.0,1.0,3.0,0.2,-0.8,False,8.0,21.0,35.0,3.0,107.7,6.0,343.8,22.0,3.0,1.0,9.0
José Sá,J38,Wolves,Premier League,pt POR,32-128,89,7.0,1.0,6.0,1.8,0.8,False,4.0,16.0,35.0,10.0,357.0,2.0,87.0,10.0,2.0,0.0,0.0
Tom King,J38,Wolves,Premier League,wls WAL,30-077,1,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
Mark Flekken,J38,Brentford,Premier League,nl NED,31-346,90,6.0,1.0,5.0,0.5,-0.5,False,5.0,16.0,39.0,3.0,91.5,8.0,536.0,13.0,1.0,0.0,0.0
Aaron Ramsdale,J38,Southampton,Premier League,eng ENG,27-011,90,7.0,2.0,5.0,1.3,-0.7,False,7.0,24.0,29.0,0.0,0.0,3.0,230.1,24.0,1.0,1.0,12.0
David Raya,J38,Arsenal,Premier League,es ESP,29-252,90,2.0,1.0,1.0,0.8,-0.2,False,1.0,4.0,16.0,4.0,122.4,1.0,8.0,8.0,2.0,1.0,16.4
Alisson,J38,Liverpool,Premier League,br BRA,32-235,90,5.0,1.0,4.0,2.3,1.3,False,2.0,5.0,36.0,10.0,252.0,5.0,164.0,5.0,0.0,3.0,66.9
Dean Henderson,J38,Crystal Palace,Premier League,eng ENG,28-074,90,3.0,1.0,2.0,1.4,0.4,False,5.0,25.0,27.0,4.0,180.8,13.0,559.0,32.0,2.0,0.0,0.0
Matz Sels,J38,Nott'ham Forest,Premier League,be BEL,33-088,90,2.0,1.0,1.0,1.1,0.1,False,3.0,12.0,33.0,4.0,128.4,2.0,33.0,9.0,0.0,4.0,74.0
Robert Sánchez,J38,Chelsea,Premier League,es ESP,27-188,90,2.0,0.0,2.0,0.1,0.1,True,1.0,20.0,32.0,5.0,230.5,3.0,228.9,26.0,5.0,0.0,0.0
Bernd Leno,J38,Fulham,Premier League,de GER,33-082,90,5.0,2.0,3.0,2.3,0.3,False,4.0,7.0,34.0,4.0,101.2,3.0,138.0,14.0,2.0,1.0,10.2
Ederson,J38,Manchester City,Premier League,br BRA,31-281,90,3.0,0.0,3.0,1.3,1.3,True,3.0,6.0,35.0,9.0,243.0,4.0,121.2,7.0,0.0,4.0,70.0
Nick Pope,J38,Newcastle Utd,Premier League,eng ENG,33-036,90,6.0,1.0,5.0,1.1,0.1,False,1.0,5.0,20.0,9.0,241.2,10.0,318.0,8.0,1.0,3.0,61.2
Jordan Pickford,J38,Everton,Premier League,eng ENG,31-079,90,6.0,0.0,6.0,1.7,1.7,True,13.0,34.0,42.0,3.0,155.7,4.0,259.2,26.0,4.0,0.0,0.0
Wladimiro Falcone,J14,Lecce,Serie A,it ITA,29-233,90,3.0,1.0,2.0,0.2,-0.8,False,10.0,12.0,33.0,2.0,60.4,0.0,0.0,11.0,0.0,0.0,0.0
Mattia Perin,J14,Juventus,Serie A,it ITA,32-021,90,6.0,1.0,5.0,1.7,0.7,False,2.0,6.0,36.0,9.0,239.4,0.0,0.0,16.0,1.0,0.0,0.0
Kepa Arrizabalaga,J38,Bournemouth,Premier League,es ESP,30-234,90,0.0,0.0,0.0,0.0,0.0,True,0.0,6.0,28.0,3.0,81.6,2.0,77.0,5.0,1.0,0.0,0.0
Jakub Stolarczyk,J38,Leicester City,Premier League,pl POL,24-157,90,7.0,2.0,5.0,2.1,0.1,False,4.0,30.0,40.0,2.0,83.6,7.0,352.8,14.0,1.0,0.0,0.0
Guglielmo Vicario,J38,Tottenham,Premier League,it ITA,28-230,90,8.0,4.0,4.0,4.1,0.1,False,3.0,6.0,31.0,3.0,82.5,2.0,26.0,26.0,1.0,0.0,0.0
Bart Verbruggen,J38,Brighton,Premier League,nl NED,22-280,90,2.0,1.0,1.0,1.5,0.5,False,2.0,6.0,30.0,2.0,51.4,0.0,0.0,5.0,0.0,1.0,23.0
Alex Padilla,J1,Athletic Club,La Liga,es ESP,20-349,90,2.0,1.0,1.0,1.0,0.0,False,4.0,20.0,34.0,7.0,240.1,9.0,524.7,13.0,1.0,2.0,35.8
David Soria,J1,Getafe,La Liga,es ESP,31-133,90,4.0,1.0,3.0,0.8,-0.2,False,3.0,13.0,16.0,2.0,108.6,2.0,129.0,13.0,2.0,0.0,0.0
Rui Silva,J1,Betis,La Liga,pt POR,30-190,90,2.0,1.0,1.0,1.0,0.0,False,1.0,9.0,34.0,4.0,121.6,8.0,166.4,15.0,0.0,2.0,53.0
Paulo Gazzaniga,J1,Girona,La Liga,ar ARG,32-226,90,4.0,1.0,3.0,1.3,0.3,False,2.0,10.0,38.0,4.0,108.8,5.0,208.0,8.0,1.0,2.0,31.6
Iván Villar,J1,Celta Vigo,La Liga,es ESP,27-038,90,2.0,1.0,1.0,1.0,0.0,False,1.0,4.0,14.0,4.0,66.8,10.0,327.0,13.0,0.0,0.0,0.0
Antonio Sivera,J1,Alavés,La Liga,es ESP,28-005,90,4.0,2.0,2.0,1.7,-0.3,False,9.0,28.0,26.0,1.0,53.1,6.0,385.2,9.0,0.0,1.0,20.5
Jasper Cillessen,J1,Las Palmas,La Liga,nl NED,35-116,90,5.0,2.0,4.0,1.5,-0.5,False,4.0,10.0,40.0,7.0,200.2,1.0,66.0,13.0,0.0,1.0,29.5
Ørjan Nyland,J1,Sevilla,La Liga,no NOR,33-341,90,5.0,2.0,4.0,1.1,-0.9,False,5.0,19.0,46.0,7.0,233.8,4.0,160.0,22.0,0.0,2.0,46.0
Sergio Herrera,J1,Osasuna,La Liga,es ESP,31-073,90,4.0,1.0,3.0,1.5,0.5,False,4.0,5.0,16.0,3.0,84.6,3.0,147.9,12.0,0.0,5.0,152.5
Juan Soriano,J1,Leganés,La Liga,es ESP,26-360,90,6.0,1.0,6.0,1.2,0.2,False,8.0,29.0,20.0,0.0,0.0,12.0,787.2,29.0,0.0,0.0,0.0
Giorgi Mamardashvili,J1,Valencia,La Liga,ge GEO,23-323,90,6.0,2.0,4.0,2.5,0.5,False,9.0,19.0,33.0,5.0,209.0,4.0,184.0,12.0,0.0,0.0,0.0
Marc-André ter Stegen,J1,Barcelona,La Liga,de GER,32-109,90,1.0,1.0,0.0,0.9,-0.1,False,2.0,8.0,38.0,6.0,184.8,3.0,102.9,10.0,0.0,0.0,0.0
Álex Remiro,J1,Real Sociedad,La Liga,es ESP,29-147,90,4.0,2.0,2.0,1.0,-1.0,False,5.0,7.0,32.0,4.0,107.2,3.0,83.1,9.0,1.0,1.0,13.0
Dani Cárdenas,J1,Rayo Vallecano,La Liga,es ESP,27-143,90,4.0,1.0,3.0,0.6,-0.4,False,3.0,13.0,7.0,2.0,93.8,8.0,511.2,21.0,0.0,0.0,0.0
Dominik Greif,J1,Mallorca,La Liga,sk SVK,27-134,90,5.0,1.0,4.0,1.2,0.2,False,2.0,11.0,10.0,0.0,0.0,5.0,252.0,9.0,0.0,0.0,0.0
Thibaut Courtois,J1,Real Madrid,La Liga,be BEL,32-099,90,5.0,1.0,4.0,0.6,-0.4,False,1.0,3.0,22.0,3.0,79.2,4.0,83.2,21.0,1.0,0.0,0.0
Mile Svilar,J14,Roma,Serie A,rs SRB,25-097,90,7.0,2.0,5.0,1.5,-0.5,False,9.0,21.0,58.0,6.0,177.0,6.0,262.8,21.0,1.0,1.0,18.7
Marco Carnesecchi,J14,Atalanta,Serie A,it ITA,24-154,90,1.0,0.0,1.0,0.0,0.0,True,2.0,11.0,28.0,5.0,173.0,7.0,294.7,10.0,1.0,1.0,9.8
Karl Jakob Hein,J1,Valladolid,La Liga,ee EST,22-128,90,2.0,0.0,2.0,0.8,0.8,True,5.0,18.0,31.0,7.0,255.5,7.0,455.0,13.0,1.0,3.0,69.9
Joan García,J1,Espanyol,La Liga,es ESP,23-107,90,1.0,1.0,0.0,0.1,-0.9,False,4.0,9.0,27.0,6.0,190.2,7.0,198.1,16.0,0.0,2.0,33.6
Diego Conde,J1,Villarreal,La Liga,es ESP,25-296,90,4.0,2.0,2.0,0.4,-1.6,False,2.0,8.0,23.0,3.0,102.0,1.0,40.0,11.0,0.0,0.0,0.0
Jan Oblak,J1,Atlético Madrid,La Liga,si SVN,31-225,90,3.0,2.0,2.0,0.8,-1.2,False,1.0,2.0,14.0,3.0,76.5,6.0,214.2,9.0,0.0,2.0,31.4
Iván Villar,J2,Celta Vigo,La Liga,es ESP,27-045,90,4.0,1.0,3.0,0.7,-0.3,False,1.0,8.0,23.0,4.0,114.8,7.0,210.0,21.0,1.0,0.0,0.0
Giorgi Mamardashvili,J2,Valencia,La Liga,ge GEO,23-329,90,5.0,3.0,1.0,1.9,-1.1,False,2.0,8.0,26.0,6.0,187.8,4.0,109.2,8.0,0.0,3.0,67.2
Ørjan Nyland,J2,Sevilla,La Liga,no NOR,33-348,90,6.0,2.0,4.0,0.9,-1.1,False,3.0,10.0,27.0,4.0,133.6,4.0,52.0,6.0,0.0,0.0,0.0
Diego Conde,J2,Villarreal,La Liga,es ESP,25-300,90,7.0,1.0,6.0,0.8,-0.2,False,4.0,13.0,29.0,4.0,134.0,8.0,367.2,19.0,1.0,0.0,0.0
Sergio Herrera,J2,Osasuna,La Liga,es ESP,31-080,90,1.0,0.0,1.0,0.1,0.1,True,4.0,18.0,15.0,4.0,190.8,11.0,698.5,20.0,2.0,0.0,0.0
Dominik Greif,J2,Mallorca,La Liga,sk SVK,27-140,90,5.0,1.0,4.0,0.6,-0.4,False,3.0,15.0,28.0,5.0,207.5,4.0,237.2,17.0,0.0,0.0,0.0
Marc-André ter Stegen,J2,Barcelona,La Liga,de GER,32-116,90,2.0,1.0,1.0,0.8,-0.2,False,4.0,5.0,35.0,10.0,270.0,3.0,83.1,16.0,1.0,2.0,26.2
Alex Padilla,J2,Athletic Club,La Liga,es ESP,20-358,90,5.0,2.0,3.0,1.7,-0.3,False,7.0,20.0,30.0,4.0,173.2,2.0,134.0,11.0,1.0,0.0,0.0
David Soria,J2,Getafe,La Liga,es ESP,31-142,90,0.0,0.0,0.0,0.0,0.0,True,4.0,20.0,21.0,1.0,50.2,9.0,497.7,10.0,0.0,0.0,0.0
Dani Cárdenas,J2,Rayo Vallecano,La Liga,es ESP,27-149,90,0.0,0.0,0.0,0.0,0.0,True,7.0,22.0,19.0,4.0,208.0,10.0,633.0,11.0,1.0,0.0,0.0
